Model,Accuracy,Recall,Precision,F1,Train Accuracy,F1 Anger,F1 Anticipation,F1 Digust,F1 Fear,F1 Joy,F1 Sadness,F1 Surprise,F1 Trust,Recall Anger,Recall Anticipation,Recall Digust,Recall Fear,Recall Joy,Recall Sadness,Recall Surprise,Recall Trust,Precision Anger,Precision Anticipation,Precision Digust,Precision Fear,Precision Joy,Precision Sadness,Precision Surprise,Precision Trust
VotingClassifier,0.389,0.3504172792587353,0.3867800768241255,0.3580461739266701,0.3827857142857143,0.45437616387337054,0.4438502673796792,0.1889763779527559,0.3314917127071823,0.4,0.3758389261744966,0.3087248322147651,0.3611111111111111,0.5781990521327014,0.48823529411764705,0.15584415584415584,0.28846153846153844,0.4020618556701031,0.3218390804597701,0.23958333333333334,0.3291139240506329,0.37423312883435583,0.4068627450980392,0.24,0.38961038961038963,0.3979591836734694,0.45161290322580644,0.4339622641509434,0.4
SGDClassifier,0.383,0.351452668268994,0.37517157700913695,0.3562615458613964,0.3775,0.4416135881104034,0.44102564102564107,0.203125,0.34254143646408836,0.4059405940594059,0.36708860759493667,0.29139072847682124,0.3573667711598746,0.4928909952606635,0.5058823529411764,0.16883116883116883,0.2980769230769231,0.422680412371134,0.3333333333333333,0.22916666666666666,0.36075949367088606,0.4,0.39090909090909093,0.2549019607843137,0.4025974025974026,0.3904761904761905,0.4084507042253521,0.4,0.35403726708074534
MultinomialNB,0.378,0.3310770621221071,0.367160333756602,0.33471651322764273,0.3697857142857143,0.46341463414634143,0.40782122905027934,0.15789473684210528,0.2619047619047619,0.4385026737967914,0.339622641509434,0.2285714285714286,0.38,0.6303317535545023,0.4294117647058823,0.11688311688311688,0.21153846153846154,0.422680412371134,0.3103448275862069,0.16666666666666666,0.36075949367088606,0.36639118457300274,0.3882978723404255,0.24324324324324326,0.34375,0.45555555555555555,0.375,0.36363636363636365,0.4014084507042254
SVC,0.372,0.33803079950621523,0.3556972749723808,0.34210253064895313,0.37357142857142855,0.4505928853754941,0.4242424242424242,0.21739130434782608,0.29508196721311475,0.416243654822335,0.26490066225165565,0.32142857142857145,0.34693877551020413,0.5402843601895735,0.45294117647058824,0.19480519480519481,0.25961538461538464,0.422680412371134,0.22988505747126436,0.28125,0.3227848101265823,0.3864406779661017,0.39896373056994816,0.2459016393442623,0.34177215189873417,0.41,0.3125,0.375,0.375
LogisticRegression,0.366,0.3400556621879345,0.3546586861032662,0.3434840873171143,0.3767857142857143,0.4247422680412371,0.4132231404958678,0.1804511278195489,0.33673469387755095,0.40975609756097564,0.339622641509434,0.31901840490797545,0.3243243243243243,0.4881516587677725,0.4411764705882353,0.15584415584415584,0.3173076923076923,0.4329896907216495,0.3103448275862069,0.2708333333333333,0.3037974683544304,0.3759124087591241,0.38860103626943004,0.21428571428571427,0.358695652173913,0.3888888888888889,0.375,0.3880597014925373,0.34782608695652173
RandomForestClassifier,0.356,0.29745005250581824,0.3231683310690698,0.2944500136655642,0.34800000000000003,0.44827586206896547,0.4032697547683924,0.04081632653061225,0.2631578947368421,0.3804347826086956,0.18461538461538463,0.2413793103448276,0.39365079365079364,0.6161137440758294,0.43529411764705883,0.025974025974025976,0.19230769230769232,0.36082474226804123,0.13793103448275862,0.21875,0.3924050632911392,0.3523035230352303,0.3756345177664975,0.09523809523809523,0.4166666666666667,0.40229885057471265,0.27906976744186046,0.2692307692307692,0.39490445859872614
GradientBoostingClassifier,0.339,0.29030207327425706,0.33633253782093875,0.29641706974829696,0.2852857142857143,0.4143302180685358,0.3867069486404834,0.15254237288135594,0.2634730538922156,0.3535911602209945,0.23448275862068962,0.23287671232876717,0.3333333333333333,0.6303317535545023,0.3764705882352941,0.11688311688311688,0.21153846153846154,0.32989690721649484,0.19540229885057472,0.17708333333333334,0.2848101265822785,0.308584686774942,0.39751552795031053,0.21951219512195122,0.3492063492063492,0.38095238095238093,0.29310344827586204,0.34,0.4017857142857143
DecisionTreeClassifier,0.32,0.2836746278394137,0.30162105436065756,0.2859904797713384,0.2852857142857143,0.40145985401459855,0.33819241982507287,0.14634146341463414,0.287292817679558,0.35820895522388063,0.21333333333333332,0.2155688622754491,0.3275261324041811,0.5213270142180095,0.3411764705882353,0.11688311688311688,0.25,0.3711340206185567,0.1839080459770115,0.1875,0.2974683544303797,0.3264094955489614,0.3352601156069364,0.1956521739130435,0.33766233766233766,0.34615384615384615,0.25396825396825395,0.2535211267605634,0.3643410852713178
KNN,0.303,0.248344381052482,0.2754663348486446,0.2431388531497732,0.3072857142857143,0.3929712460063898,0.3801652892561983,0.058823529411764705,0.1851851851851852,0.32653061224489793,0.1951219512195122,0.1294964028776978,0.27681660899653976,0.5829383886255924,0.40588235294117647,0.03896103896103896,0.14423076923076922,0.32989690721649484,0.13793103448275862,0.09375,0.25316455696202533,0.2963855421686747,0.35751295336787564,0.12,0.25862068965517243,0.32323232323232326,0.3333333333333333,0.20930232558139536,0.3053435114503817
KNN Baseline,0.265,0.21810439865806636,0.22949509516380937,0.21252199559013563,0.2555,0.3508771929824562,0.2924281984334204,0.0,0.1871345029239766,0.3333333333333333,0.08064516129032258,0.23030303030303031,0.22545454545454546,0.5213270142180095,0.32941176470588235,0.0,0.15384615384615385,0.28865979381443296,0.05747126436781609,0.19791666666666666,0.1962025316455696,0.2644230769230769,0.26291079812206575,0.0,0.23880597014925373,0.39436619718309857,0.13513513513513514,0.2753623188405797,0.26495726495726496
